,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
173,"La Boca - Remix","Mau y Ricky",652190,https://open.spotify.com/track/2EEmzqzM70CybVspgM7YRT
174,"Si Supieras","Daddy Yankee",651785,https://open.spotify.com/track/7MRU4vOkywuhZ9kbFiPuiu
175,"BUTTERFLY EFFECT","Travis Scott",651523,https://open.spotify.com/track/6xcJyGpfZbuuiequtnlKt4
176,EARFQUAKE,"Tyler, The Creator",649245,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0
177,"So Am I","Ava Max",646658,https://open.spotify.com/track/0uUNN1nSoUx1A4fkDCWDQ7
178,"Another One Bites The Dust - Remastered 2011",Queen,642090,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
179,"Here With Me",Marshmello,640016,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
180,"Mad Love",Mabel,638644,https://open.spotify.com/track/0Zp10WiPeEi6EUJZvWcNT9
181,"All of Me","John Legend",637816,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
182,"Babushka Boi","A$AP Rocky",634908,https://open.spotify.com/track/643PW82aBMUa1FiWi5VQY7
183,"All Around The World (La La La)",R3HAB,633539,https://open.spotify.com/track/02itaCXOdC54J0ISjqqFAp
184,"Que Mas Pues - Remix",Sech,632531,https://open.spotify.com/track/7fODjB7BrQTGqh0hogW6XD
185,Photograph,"Ed Sheeran",631834,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
186,"Doin' Time","Lana Del Rey",629943,https://open.spotify.com/track/0Oqc0kKFsQ6MhFOLBNZIGX
187,"In My Mind",Dynoro,623939,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
188,"Havana (feat. Young Thug)","Camila Cabello",623789,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
189,"wish you were gay","Billie Eilish",623056,https://open.spotify.com/track/3Fj47GNK2kUF0uaEDgXLaD
190,"Jocelyn Flores",XXXTENTACION,622304,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
191,"MIA (feat. Drake)","Bad Bunny",621684,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
192,Paradise,Bazzi,617055,https://open.spotify.com/track/0Rx0DJI556Ix5gBny6EWmn
193,"Something Just Like This","The Chainsmokers",615843,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
194,"i love you","Billie Eilish",615756,https://open.spotify.com/track/6CcJMwBtXByIz4zQLzFkKc
195,"God's Plan",Drake,615528,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
196,"Get You The Moon (feat. Snøw)",Kina,610995,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa
197,Ritual,Tiësto,610311,https://open.spotify.com/track/3M9Apu4OZfylLTFKvgEtKa
198,"Go Loko (feat. Tyga, Jon Z)",YG,608753,https://open.spotify.com/track/1kK6DwzyXJSp58u5HYWwuD
199,Closer,"The Chainsmokers",608657,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
200,CANGURO,WOS,606480,https://open.spotify.com/track/4wyNKAZe82BNlp2lHiR1FX
